Column1,Column2,Column3,Column4,Column5,Column6,Column7,,,,,,,,,,,,,
Combo box Description,Value,,,,,,,,,,,,,,,,,,
Matrix type,M210N 213-010 WVGA-FAR-90-ETH-ST,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M210N 213-110 WVGA-FAR-ETH-ST,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M210N 235-111 WVGA-DPM-LL-ETH-ES,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M210N 235-111 WVGA-DPM-LL-ETH-ES,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 481-010 LNS-6 MLT-DPM STD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 423-010 LNS-9 RED MED STD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 412-010 LQL-9 RED WIDE STD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 472-010 LQL-9 LT-DPM STD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 472-011 LQL-9 LT-DPM ESD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 412-010 LQL-9 RED WIDE STD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 712-010 2MP LQL-9 R-WD STD,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 776-010 2MP LQL-16 R-WD DIF,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M410N 700-010 2.0MP-45FPS-ETH,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M410N 500-010,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M450N 800-030 5MP GIGE,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M120 210-000 WVGA SER+USB STD,,,,,,,,,,,,,,,,,,
From,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
To,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Channels,None,USB-HID,,,,,,,,,,,,,,,,,
Fieldbus,None,HMS Fieldbus,,,,,,,,,,,,,,,,,
Image Saving,None,RAM,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M120 311-000 1.2MP SER+USB WA,,,,,,,,,,,,,,,,,,
From,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
To,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Channels,None,USB-HID,,,,,,,,,,,,,,,,,
Fieldbus,None,HMS Fieldbus,,,,,,,,,,,,,,,,,
Image Saving,None,RAM,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M120 210-010 WVGA SER+ETH STD,,,,,,,,,,,,,,,,,,
From,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
To,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
Channels,None,Reader TCP Client,Reader TCP Server,Reader UDP Channel,,,,,,,,,,,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Fieldbus,None,Ethernet/IP,Modbus Client,Profinet IO,HMS Fieldbus,,,,,,,,,,,,,,
Image Saving,None,RAM,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M120 311-010 1.2MP SER+ETH WA,,,,,,,,,,,,,,,,,,
From,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
To,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M120 310-011 1.2MP SER+ETH ESD,,,,,,,,,,,,,,,,,,
From,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
To,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.5.2,1.5.3,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,
Channels,None,Reader TCP Client,Reader TCP Server,Reader UDP Channel,,,,,,,,,,,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Fieldbus,None,Ethernet/IP,Modbus Client,Profinet IO,HMS Fieldbus,,,,,,,,,,,,,,
Image Saving,None,RAM,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M120 310-01A 1.2MP SER+ETH,,,,,,,,,,,,,,,,,,
From,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,,,,,
To,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M220 382-010 1.2MP DPM-R 7MM,,,,,,,,,,,,,,,,,,
From,1.6.0,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,
To,1.6.0,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Fieldbus,None,Ethernet/IP,Modbus Client,Profinet IO,HMS Fieldbus,SLMP[1.8.0/1.8.1/1.8.2/1.8.3/1.9.0/1.9.1],,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M220 325-01A 1.2MP STD-R 12MM HP,,,,,,,,,,,,,,,,,,
From,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,,,,,
To,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Fieldbus,None,Ethernet/IP,Modbus Client,Profinet IO,HMS Fieldbus,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M220 355-040 1.2MP STD-W 12MM POE,,,,,,,,,,,,,,,,,,
From,1.6.0,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,
To,1.6.0,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Fieldbus,None,Ethernet/IP,Modbus Client,Profinet IO,HMS Fieldbus,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M220 395-010 1.2MP DPM-B 12MM,,,,,,,,,,,,,,,,,,
From,1.6.0,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,
To,1.6.0,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2,,,,,,,,,,,,
Modes,None,Continuous,One Shot,Phase Mode,,,,,,,,,,,,,,,
Fieldbus,None,Ethernet/IP,Modbus Client,Profinet IO,HMS Fieldbus,SLMP,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M320 707-330 LL9 14L 45D BLU,,,,,,,,,,,,,,,,,,
From,1.9.0,1.9.1,,,,,,,,,,,,,,,,,
To,1.9.0,1.9.1,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M320 721-330 LL9 36L 45D RED,,,,,,,,,,,,,,,,,,
From,1.9.0,1.9.1,,,,,,,,,,,,,,,,,
To,1.9.0,1.9.1,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M320 702-230,,,,,,,,,,,,,,,,,,
From,1.1,,,,,,,,,,,,,,,,,,
To,1.1,,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M320 700-030 ,,,,,,,,,,,,,,,,,,
From,1.1,,,,,,,,,,,,,,,,,,
To,1.1,,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M320 ATS-000 ASSY FOR STS320-00X,,,,,,,,,,,,,,,,,,
From,1.9.1,,,,,,,,,,,,,,,,,,
To,1.9.1,,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M320 ATS-DUY Test,,,,,,,,,,,,,,,,,,
From,1.9.1,,,,,,,,,,,,,,,,,,
To,1.9.1,,,,,,,,,,,,,,,,,,
*END*,,,,,,,,,,,,,,,,,,,
